MouseY,"cond[d,t]",Gender,Mouse,MouseX,Time,Trial,Age,ID
-0.937037037037037,"[0.3, 0.6]",female,yes,-0.9572916666666667,0.6551395000005868,1,23,987654321
-0.9314814814814815,"[0.3, 0.6]",female,yes,-0.9479166666666666,0.6653545999997732,1,23,987654321
-0.9203703703703704,"[0.3, 0.6]",female,yes,-0.9239583333333333,0.6755905999998504,1,23,987654321
-0.9166666666666666,"[0.3, 0.6]",female,yes,-0.9135416666666667,0.6857897000008961,1,23,987654321
-0.9148148148148149,"[0.3, 0.6]",female,yes,-0.896875,0.6959882999999536,1,23,987654321
-0.9092592592592592,"[0.3, 0.6]",female,yes,-0.8666666666666667,0.7062373999997362,1,23,987654321
-0.9055555555555556,"[0.3, 0.6]",female,yes,-0.8541666666666666,0.7165182999997342,1,23,987654321
-0.9018518518518519,"[0.3, 0.6]",female,yes,-0.8354166666666667,0.7267145999994682,1,23,987654321
-0.9,"[0.3, 0.6]",female,yes,-0.825,0.7369037000007665,1,23,987654321
-0.8907407407407407,"[0.3, 0.6]",female,yes,-0.8010416666666667,0.7471029000007547,1,23,987654321
-0.8888888888888888,"[0.3, 0.6]",female,yes,-0.7927083333333333,0.7573374999992666,1,23,987654321
-0.8870370370370371,"[0.3, 0.6]",female,yes,-0.7875,0.7675369999997201,1,23,987654321
-0.8777777777777778,"[0.3, 0.6]",female,yes,-0.7770833333333333,0.7777710000009392,1,23,987654321
-0.8722222222222222,"[0.3, 0.6]",female,yes,-0.775,0.7879751000000397,1,23,987654321
-0.8666666666666667,"[0.3, 0.6]",female,yes,-0.7708333333333334,0.7981937999993534,1,23,987654321
-0.8611111111111112,"[0.3, 0.6]",female,yes,-0.7697916666666667,0.8083917999992991,1,23,987654321
-0.8518518518518519,"[0.3, 0.6]",female,yes,-0.7677083333333333,0.8185807000008936,1,23,987654321
-0.8425925925925926,"[0.3, 0.6]",female,yes,-0.765625,0.828780399999232,1,23,987654321
-0.837037037037037,"[0.3, 0.6]",female,yes,-0.765625,0.8390299999991839,1,23,987654321
-0.8277777777777777,"[0.3, 0.6]",female,yes,-0.7625,0.8492325999995955,1,23,987654321
-0.8037037037037037,"[0.3, 0.6]",female,yes,-0.7583333333333333,0.8594737000003079,1,23,987654321
-0.7907407407407407,"[0.3, 0.6]",female,yes,-0.7572916666666667,0.8697546999992483,1,23,987654321
-0.774074074074074,"[0.3, 0.6]",female,yes,-0.7541666666666667,0.8800212999994983,1,23,987654321
-0.7388888888888889,"[0.3, 0.6]",female,yes,-0.7427083333333333,0.8902725999996619,1,23,987654321
-0.7148148148148148,"[0.3, 0.6]",female,yes,-0.7364583333333333,0.9005003999991459,1,23,987654321
-0.6981481481481482,"[0.3, 0.6]",female,yes,-0.728125,0.9107304000008298,1,23,987654321
-0.674074074074074,"[0.3, 0.6]",female,yes,-0.721875,0.9209393000001,1,23,987654321
-0.6333333333333333,"[0.3, 0.6]",female,yes,-0.7052083333333333,0.9311483000001317,1,23,987654321
-0.6129629629629629,"[0.3, 0.6]",female,yes,-0.6989583333333333,0.9415296000006492,1,23,987654321
-0.5925925925925926,"[0.3, 0.6]",female,yes,-0.690625,0.9517417999995814,1,23,987654321
-0.5518518518518518,"[0.3, 0.6]",female,yes,-0.6729166666666667,0.962027699999453,1,23,987654321
-0.5277777777777778,"[0.3, 0.6]",female,yes,-0.6645833333333333,0.9722837999997864,1,23,987654321
-0.5111111111111111,"[0.3, 0.6]",female,yes,-0.6541666666666667,0.9824898999995639,1,23,987654321
-0.4925925925925926,"[0.3, 0.6]",female,yes,-0.6427083333333333,0.992709800000739,1,23,987654321
-0.4666666666666667,"[0.3, 0.6]",female,yes,-0.6291666666666667,1.0030019999994693,1,23,987654321
-0.45555555555555555,"[0.3, 0.6]",female,yes,-0.6197916666666666,1.013227100000222,1,23,987654321
-0.4462962962962963,"[0.3, 0.6]",female,yes,-0.6125,1.023518600000898,1,23,987654321
-0.44074074074074077,"[0.3, 0.6]",female,yes,-0.603125,1.033977799999775,1,23,987654321
-0.44074074074074077,"[0.3, 0.6]",female,yes,-0.596875,1.0441652000008617,1,23,987654321
-0.44074074074074077,"[0.3, 0.6]",female,yes,-0.5927083333333333,1.0543582999998762,1,23,987654321
-0.44074074074074077,"[0.3, 0.6]",female,yes,-0.584375,1.0646023000008427,1,23,987654321
